Version:,,,,,,
TriggerVersion:,v4,,,,,
0,0.03204992,-7.07,-4.8,359.9938,0,0
0,0.01515743,-7.07,-4.8,359.9938,0,0
0,0.03184856,-7.07,-4.8,359.9938,0,0
0,0.03758043,-7.07,-4.8,359.9938,0,0
0,0.0143266,-7.07,-4.8,359.9938,0,0
0,0.03146062,-7.07,-4.8,359.9938,0,0
0,0.03772461,-7.07,-4.8,359.9938,0,0
0,0.03153942,-7.07,-4.8,359.9938,0,0
0,0.01510428,-7.07,-4.8,359.9938,0,0
0,0.03260734,-7.07,-4.8,359.9938,0,0
0,0.03742444,-7.07,-4.8,359.9938,0,0
0,0.01413314,-7.07,-4.8,359.9938,0,0
0,0.0319117,-7.07,-4.8,359.9938,0,0
0,0.03727463,-7.07,-4.8,359.9938,0,0
0,0.01458894,-7.07,-4.8,359.9938,0,0
0,0.03120211,-7.07,-4.8,359.9938,0,0
0,0.03775732,-7.07,-4.8,359.9938,0,0
0,0.03190304,-7.07,-4.8,359.9938,0,0
0,0.01524804,-7.07,-4.8,359.9938,0,0
0,0.03190698,-7.07,-4.8,359.9938,0,0
0,0.03867993,-7.07,-4.8,359.9938,0,0
0,0.01353924,-7.07,-4.8,359.9938,0,0
0,0.03096437,-7.07,-4.8,359.9938,0,0
0,0.03806335,-7.07,-4.8,359.9938,0,0
0,0.03149921,-7.07,-4.8,359.9938,0,0
0,0.01520266,-7.07,-4.8,359.9938,0,0
0,0.03224031,-7.07,-4.8,359.9938,0,0
0,0.0371497,-7.07,-4.8,359.9938,0,0
0,0.01479695,-7.07,-4.8,359.9938,0,0
0,0.03187354,-7.07,-4.8,359.9938,0,0
0,0.03729574,-7.07,-4.8,359.9938,0,0
0,0.0314212,-7.07,-4.8,359.9938,0,0
0,0.01533157,-7.07,-4.8,359.9938,0,0
0,0.0323214,-7.07,-4.8,359.9938,0,0
0,0.03776958,-7.07,-4.8,359.9938,0,0
0,0.01388955,-7.07,-4.8,359.9938,0,0
0,0.0316784,-7.07,-4.8,359.9938,0,0
0,0.0376089,-7.07,-4.8,359.9938,0,0
0,0.014929,-7.07,-4.8,359.9938,0,0
0,0.03091576,-7.07,-4.8,359.9938,0,0
0,0.03758772,-7.07,-4.8,359.9938,0,0
0,0.03190547,-7.07,-4.8,359.9938,0,0
0,0.01543554,-7.07,-4.8,359.9938,0,0
0,0.03176798,-7.07,-4.8,359.9938,0,0
0,0.03776418,-7.07,-4.8,359.9938,0,0
