Version:,Taxi,Continuous/Discontinuous,v4.1.8942.21304,,,
0,0.01661846,-8.8548,4.3396,341.1346,0,0
0,0.01693729,-8.8685,4.3796,341.1346,0,0
0,0.01648017,-8.8819,4.4186,341.1346,0,0
0,0.01674904,-8.8954,4.4582,341.1346,0,0
0,0.01669448,-8.9089,4.4977,341.1346,0,0
0,0.01657357,-8.9223,4.5369,341.1346,0,0
0,0.01682466,-8.9359,4.5767,341.1346,0,0
0,0.01652828,-8.9492,4.6158,341.1346,0,0
0,0.01688738,-8.9629,4.6557,341.1346,0,0
0,0.01660603,-8.9763,4.695,341.1346,0,0
0,0.01680369,-8.9899,4.7348,341.1346,0,0
0,0.01653405,-9.0032,4.7739,341.1346,0,0
0,0.01661611,-9.0167,4.8132,341.1346,0,0
0,0.01669158,-9.0302,4.8527,341.1346,0,0
0,0.01673433,-9.0437,4.8923,341.1346,0,0
0,0.01670998,-9.0572,4.9318,341.1346,0,0
0,0.01670276,-9.0707,4.9713,341.1346,0,0
0,0.0167394,-9.0842,5.0109,341.1346,0,0
0,0.0164699,-9.0975,5.0498,341.1346,0,0
0,0.01675828,-9.1111,5.0895,341.1346,0,0
0,0.01655925,-9.1245,5.1286,341.1346,0,0
0,0.01686997,-9.1381,5.1685,341.1346,0,0
0,0.01659214,-9.1515,5.2078,341.1346,0,0
0,0.01670657,-9.165,5.2473,341.1346,0,0
0,0.01652985,-9.1784,5.2864,341.1346,0,0
0,0.01669516,-9.1919,5.3259,341.1346,0,0
0,0.01683058,-9.2055,5.3657,341.1346,0,0
0,0.01658803,-9.2189,5.4049,341.1346,0,0
0,0.01672985,-9.2324,5.4445,341.1346,0,0
0,0.01663259,-9.2459,5.4839,341.1346,0,0
0,0.0166324,-9.2593,5.5232,341.1346,0,0
0,0.01628787,-9.2725,5.5617,341.1346,0,0
0,0.01666318,-9.2859,5.6011,341.1346,0,0
0,0.01671121,-9.2994,5.6407,341.1346,0,0
0,0.01660192,-9.3129,5.6799,341.1346,0,0
0,0.01675689,-9.3264,5.7196,341.1346,0,0
0,0.01662086,-9.3398,5.7589,341.1346,0,0
0,0.01657715,-9.3532,5.7981,341.1346,0,0
0,0.01683393,-9.3668,5.8379,341.1346,0,0
0,0.01668706,-9.3803,5.8774,341.1346,0,0
0,0.01672776,-9.3938,5.917,341.1346,0,0
0,0.01652052,-9.4072,5.956,341.1346,0,0
0,0.01693951,-9.4209,5.9961,341.1346,0,0
0,0.01627258,-9.434,6.0346,341.1346,0,0
0,0.01682067,-9.4476,6.0744,341.1346,0,0
0,0.01672374,-9.4611,6.1139,341.1346,0,0
0,0.01687784,-9.4748,6.1539,341.1346,0,0
0,0.01636786,-9.488,6.1926,341.1346,0,0
0,0.01669818,-9.5015,6.2321,341.1346,0,0
0,0.01696331,-9.514,6.2726,342.8794,0,0
0,0.0166486,-9.5251,6.3127,344.5919,0,0
0,0.01665846,-9.5349,6.3532,346.3055,0,0
0,0.01670494,-9.5436,6.394,348.0237,0,0
0,0.01660941,-9.551,6.4349,349.7322,0,0
